pokemon_1,pokemon_2,type_eff_1_to_2,type_eff_2_to_1,stat_sum_1,stat_sum_2,score_1,score_2,winner
xatu,heracross,8.0,0.25,470,500,3760.0,125.0,xatu
whirlipede,skiddo,4.0,0.5,360,350,1440.0,175.0,whirlipede
skitty,palpitoad,1.0,1.0,260,384,260.0,384.0,palpitoad
koffing,zangoose,1.0,1.0,340,458,340.0,458.0,zangoose
beheeyem,sliggoo,1.0,1.0,485,452,485.0,452.0,beheeyem
magnezone,cobalion,0.5,0.5,535,580,267.5,290.0,cobalion
swanna,heliolisk,0.5,4.0,473,481,236.5,1924.0,heliolisk
ekans,lanturn,1.0,1.0,288,460,288.0,460.0,lanturn
victreebel,drapion,0.5,1.0,490,500,245.0,500.0,drapion
exeggutor,xerneas,1.0,1.0,520,680,520.0,680.0,xerneas
lilligant,elgyem,1.0,1.0,480,335,480.0,335.0,lilligant
porygon,lucario,0.25,4.0,395,525,98.75,2100.0,lucario
beedrill,metagross,0.0,2.0,395,600,0.0,1200.0,metagross
miltank,swirlix,1.0,1.0,490,341,490.0,341.0,miltank
weedle,mamoswine,0.5,1.0,195,530,97.5,530.0,mamoswine
empoleon,xerneas,2.0,0.25,530,680,1060.0,170.0,empoleon
herdier,maractus,1.0,1.0,370,461,370.0,461.0,maractus
spinarak,zekrom,1.0,1.0,250,680,250.0,680.0,zekrom
whimsicott,tynamo,1.0,0.5,480,275,480.0,137.5,whimsicott
poliwhirl,swadloon,0.5,2.0,385,380,192.5,760.0,swadloon
latias,dragalge,4.0,2.0,600,494,2400.0,988.0,latias
banette,bibarel,0.0,0.0,455,410,0.0,0.0,bibarel
exeggcute,jolteon,1.0,0.5,325,525,325.0,262.5,exeggcute
kirlia,shinx,1.0,1.0,278,263,278.0,263.0,kirlia
arcanine,zigzagoon,1.0,1.0,555,240,555.0,240.0,arcanine
medicham,spewpa,1.0,1.0,410,213,410.0,213.0,medicham
ditto,regirock,0.25,1.0,288,580,72.0,580.0,regirock
dragonite,fletchling,1.0,1.0,600,278,600.0,278.0,dragonite
vulpix,chesnaught,2.0,1.0,299,530,598.0,530.0,vulpix
machamp,metagross,0.5,2.0,505,600,252.5,1200.0,metagross
loudred,mandibuzz,1.0,1.0,360,510,360.0,510.0,mandibuzz
corsola,tyrunt,1.0,1.0,380,362,380.0,362.0,corsola
poliwrath,tentacruel,0.25,0.5,510,515,127.5,257.5,tentacruel
sneasel,mandibuzz,1.0,0.5,430,510,430.0,255.0,sneasel
rhydon,lotad,0.5,16.0,485,220,242.5,3520.0,lotad
hariyama,roserade,0.5,1.0,474,515,237.0,515.0,roserade
sableye,drifloon,4.0,1.0,380,348,1520.0,348.0,sableye
servine,deerling,0.5,0.5,413,335,206.5,167.5,servine
beldum,dewott,0.5,0.5,300,413,150.0,206.5,dewott
zubat,mawile,0.0,0.5,245,380,0.0,190.0,mawile
octillery,fletchling,1.0,1.0,480,278,480.0,278.0,octillery
heatran,unfezant,1.0,0.25,600,488,600.0,122.0,heatran
castform,simisage,1.0,1.0,420,498,420.0,498.0,simisage
weepinbell,chikorita,1.0,0.5,390,318,390.0,159.0,weepinbell
seadra,ariados,1.0,1.0,440,390,440.0,390.0,seadra
hitmonlee,steelix,1.0,1.0,455,510,455.0,510.0,steelix
aerodactyl,sceptile,2.0,0.5,515,530,1030.0,265.0,aerodactyl
registeel,vullaby,1.0,0.5,580,370,580.0,185.0,registeel
jigglypuff,skiploom,1.0,1.0,270,340,270.0,340.0,skiploom
dustox,metagross,0.0,2.0,385,600,0.0,1200.0,metagross
weavile,unfezant,2.0,1.0,510,488,1020.0,488.0,weavile
vigoroth,luvdisc,1.0,1.0,440,330,440.0,330.0,vigoroth
lombre,finneon,1.0,0.25,340,330,340.0,82.5,lombre
purrloin,carracosta,0.5,1.0,281,495,140.5,495.0,carracosta
snubbull,litwick,0.0,0.0,300,275,0.0,0.0,litwick
herdier,stunfisk,1.0,1.0,370,471,370.0,471.0,stunfisk
alakazam,fletchinder,1.0,1.0,500,382,500.0,382.0,alakazam
baltoy,unfezant,0.0,1.0,300,488,0.0,488.0,unfezant
feebas,shelmet,1.0,1.0,200,305,200.0,305.0,shelmet
drowzee,froakie,1.0,1.0,328,314,328.0,314.0,drowzee
beautifly,electrike,0.5,2.0,395,295,197.5,590.0,electrike
zorua,tynamo,1.0,1.0,330,275,330.0,275.0,zorua
poliwrath,togepi,1.0,2.0,510,245,510.0,490.0,poliwrath
gothita,sylveon,1.0,1.0,290,525,290.0,525.0,sylveon
solrock,tranquill,2.0,0.25,440,358,880.0,89.5,solrock
seismitoad,swanna,0.0,1.0,509,473,0.0,473.0,swanna
seaking,quilladin,0.5,2.0,450,405,225.0,810.0,quilladin
flareon,shieldon,0.25,1.0,525,350,131.25,350.0,shieldon
palpitoad,kyurem,0.5,1.0,384,660,192.0,660.0,kyurem
chansey,garbodor,1.0,1.0,450,474,450.0,474.0,garbodor
paras,cyndaquil,0.25,4.0,285,309,71.25,1236.0,cyndaquil
squirtle,beautifly,1.0,1.0,314,395,314.0,395.0,beautifly
togekiss,spritzee,1.0,1.0,545,341,545.0,341.0,togekiss
nidorino,volcarona,1.0,0.5,365,550,365.0,275.0,nidorino
pikachu,unfezant,2.0,0.5,320,488,640.0,244.0,pikachu
horsea,bisharp,0.5,0.5,295,490,147.5,245.0,bisharp
houndour,kingdra,0.25,2.0,330,540,82.5,1080.0,kingdra
swinub,duskull,1.0,1.0,250,295,250.0,295.0,duskull
arcanine,bergmite,2.0,0.5,555,304,1110.0,152.0,arcanine
mew,typhlosion,1.0,1.0,600,534,600.0,534.0,mew
kingdra,trubbish,1.0,1.0,540,329,540.0,329.0,kingdra
zoroark,sawsbuck,1.0,1.0,510,475,510.0,475.0,zoroark
chingling,skiddo,1.0,1.0,285,350,285.0,350.0,skiddo
drowzee,klang,0.25,1.0,328,440,82.0,440.0,klang
skarmory,palkia,0.5,0.5,465,680,232.5,340.0,palkia
tentacool,mamoswine,1.0,1.0,335,530,335.0,530.0,mamoswine
venusaur,beautifly,0.25,2.0,525,395,131.25,790.0,beautifly
voltorb,regice,1.0,1.0,330,580,330.0,580.0,regice
machamp,chikorita,2.0,1.0,505,318,1010.0,318.0,machamp
slowpoke,horsea,0.5,0.5,315,295,157.5,147.5,slowpoke
zebstrika,noivern,1.0,0.5,497,535,497.0,267.5,zebstrika
hoothoot,eelektrik,0.5,2.0,262,405,131.0,810.0,eelektrik
spoink,sawk,2.0,1.0,330,465,660.0,465.0,spoink
slaking,cobalion,0.25,4.0,670,580,167.5,2320.0,cobalion
dragonite,duosion,1.0,1.0,600,370,600.0,370.0,dragonite
poliwhirl,spewpa,1.0,1.0,385,213,385.0,213.0,poliwhirl
wigglytuff,kecleon,1.0,1.0,435,440,435.0,440.0,kecleon
horsea,rufflet,1.0,1.0,295,350,295.0,350.0,rufflet
ekans,flareon,1.0,1.0,288,525,288.0,525.0,flareon
armaldo,gigalith,1.0,1.0,495,515,495.0,515.0,gigalith
ludicolo,tepig,1.0,1.0,480,308,480.0,308.0,ludicolo
moltres,hippowdon,1.0,0.0,580,525,580.0,0.0,moltres
dugtrio,mesprit,1.0,1.0,405,580,405.0,580.0,mesprit
slowpoke,magikarp,0.5,0.5,315,200,157.5,100.0,slowpoke
psyduck,dialga,0.25,0.5,320,680,80.0,340.0,dialga
vileplume,horsea,2.0,0.5,490,295,980.0,147.5,vileplume
meditite,yveltal,0.0,2.0,280,680,0.0,1360.0,yveltal
starly,reuniclus,1.0,1.0,245,490,245.0,490.0,reuniclus
ivysaur,rayquaza,0.25,2.0,405,680,101.25,1360.0,rayquaza
vaporeon,ursaring,1.0,1.0,525,500,525.0,500.0,vaporeon
slugma,swinub,2.0,1.0,250,250,500.0,250.0,slugma
luxray,gothorita,1.0,1.0,523,390,523.0,390.0,luxray
torterra,vullaby,0.0,2.0,525,370,0.0,740.0,vullaby
ditto,emolga,1.0,1.0,288,428,288.0,428.0,emolga
crobat,ducklett,1.0,1.0,535,305,535.0,305.0,crobat
luxio,mienfoo,1.0,2.0,363,350,363.0,700.0,mienfoo
goldeen,glameow,1.0,1.0,320,310,320.0,310.0,goldeen
gastly,latios,2.0,2.0,310,600,620.0,1200.0,latios
piloswine,carracosta,1.0,2.0,450,495,450.0,990.0,carracosta
pangoro,swirlix,0.5,4.0,495,341,247.5,1364.0,swirlix
spinda,lucario,0.25,4.0,360,525,90.0,2100.0,lucario
marill,carracosta,1.0,0.5,250,495,250.0,247.5,marill
chikorita,furfrou,1.0,1.0,318,472,318.0,472.0,furfrou
azumarill,drifblim,1.0,1.0,420,498,420.0,498.0,drifblim
sentret,nincada,1.0,1.0,215,266,215.0,266.0,nincada
graveler,swampert,0.5,8.0,390,535,195.0,4280.0,swampert
pichu,dialga,0.25,0.5,205,680,51.25,340.0,dialga
butterfree,cacturne,8.0,0.25,395,475,3160.0,118.75,butterfree
lanturn,vigoroth,1.0,1.0,460,440,460.0,440.0,lanturn
cherubi,skiddo,0.5,0.5,275,350,137.5,175.0,skiddo
scyther,darumaka,0.5,2.0,500,315,250.0,630.0,darumaka
azumarill,raikou,1.0,2.0,420,580,420.0,1160.0,raikou
bouffalant,espurr,1.0,1.0,490,355,490.0,355.0,bouffalant
hitmonchan,shroomish,2.0,1.0,455,295,910.0,295.0,hitmonchan
armaldo,serperior,2.0,0.5,495,528,990.0,264.0,armaldo
spinarak,pansear,0.5,2.0,250,316,125.0,632.0,pansear
wailmer,sawk,1.0,2.0,400,465,400.0,930.0,sawk
regirock,rhyperior,0.25,2.0,580,535,145.0,1070.0,rhyperior
registeel,klink,0.25,0.25,580,300,145.0,75.0,registeel
pidgey,tranquill,1.0,1.0,251,358,251.0,358.0,tranquill
charmander,misdreavus,0.0,0.0,309,435,0.0,0.0,misdreavus
rhydon,regice,2.0,1.0,485,580,970.0,580.0,rhydon
grumpig,carracosta,0.5,1.0,470,495,235.0,495.0,carracosta
golduck,skiploom,0.5,2.0,500,340,250.0,680.0,skiploom
cubone,illumise,0.5,1.0,320,400,160.0,400.0,illumise
snubbull,mismagius,0.0,0.0,300,495,0.0,0.0,mismagius
sableye,spiritomb,1.0,1.0,380,485,380.0,485.0,spiritomb
muk,pansear,1.0,1.0,500,316,500.0,316.0,muk
